headword,CEFR,pos,Translation
alike,B1,adjective,서로 같은
alive,A2,adjective,살아 있는
all,A2,adverb,모두
all right,A1,adjective,괜찮은
allegation,B2,noun,진술
allergic,B1,adjective,알레르기
alliance,B2,noun,동맹
allow,A2,verb,허용하다
allowance,B1,noun,용돈
ally,B2,noun,동맹국
almost,A1,adverb,거의
alone,A2,adjective,홀로
along,A1,adverb,~을 따라
alongside,B2,preposition,함께
aloud,B1,adverb,소리 내어
alphabet,B1,noun,알파벳
alphabetical,B2,adjective,알파벳
already,A1,adverb,이미
alright,A2,adjective,괜찮은
also,A1,adverb,또한
altar,B2,noun,제단
alter,B2,verb,바꾸다
alternate,B2,verb,번갈아 하는
alternative,B1,adjective,대안
alternatively,B2,adverb,대안적으로
although,A2,conjunction,하지만
altitude,B2,noun,고도
altogether,B1,adverb,전부
aluminum/aluminium,B2,noun,알루미늄
always,A1,adverb,언제나
amaze,B2,verb,놀리다
amazed,B1,adjective,놀란
amazement,B2,noun,놀람
amazing,B1,adjective,놀라운
amazingly,B2,adverb,놀랍게도
ambassador,B2,noun,대사
ambiguity,B2,noun,모호
ambiguous,B2,adjective,모호한
ambition,A2,noun,큰 뜻
ambitious,B1,adjective,거창한
ambulance,B1,noun,구급차
ammonia,B2,noun,암모니아
among,A2,preposition,~중에
amongst,B2,preposition,중에서
amount,B1,noun,양
ample,B2,adjective,앰플
amplifier,B2,noun,증폭기
amplify,B2,verb,더욱 상세히하다
amuse,B2,verb,기쁘게하다
amused,A2,adjective,즐기는
amusement,A2,noun,즐거움
amusing,B1,adjective,즐거움
analogy,B2,noun,유추
analysis,B1,noun,분석
analyst,B2,noun,분석자
analyze/analyse,B1,verb,분석
ancestor,A2,noun,선조
anchor,B2,noun,닻
anchorage,B2,noun,닻을 내림
anchorman,B2,noun,남자 뉴스 캐스터
ancient,A2,adjective,고대의
and,A1,conjunction,그리고
angel,A2,noun,천사
anger,B1,noun,화
angle,B1,noun,각도
angrily,A2,adverb,노하여
angry,A1,adjective,화난
anguish,B2,noun,격통
animal,A1,noun,동물
animate,B2,verb,생기있게 하다
animated,B1,adjective,생기있는
animation,B1,noun,생기
ankle,A2,noun,발목
anniversary,A2,noun,기념일
announce,B1,verb,발표하다
announcement,B1,noun,발표
annoy,A2,verb,짜증나게 하다
annoyance,B1,noun,성가심
annoyed,B1,adjective,짜증이 난
annoying,A2,adjective,짜증나는
annual,B1,adjective,연간
annually,B1,adverb,매년
anonymous,B2,adjective,익명의
answer,A1,noun,답변
ant,B1,noun,개미
anti,B1,adjective,안티
antiaircraft,B2,adjective,대공포
antibacterial,B2,adjective,항균성
anticancer,B2,noun,항암
anticipate,B2,verb,예상하다
anticipation,B2,noun,예기
antipollution,B2,noun,반 오염
antique,B2,adjective,고대 미술
antistatic,B2,adjective,정전기 방지
antivirus,B2,noun,바이러스 백신
antonym,B1,noun,반대말
anxiety,B1,noun,불안
anxious,A2,adjective,불안해하는
anxiously,B1,adverb,걱정스럽게
anybody,A1,pronoun,아무도
anyhow,B1,adverb,아무리 해도
anymore,A2,adverb,더 이상
anyone,A1,pronoun,누구나
anything,A1,pronoun,아무것
anyway,A2,adverb,그래도
anywhere,A2,adverb,어딘가에
apart,A2,adverb,따로
apartment,A2,noun,아파트
ape,B1,noun,원숭이
apologize/apologise,A2,verb,사과
apology,B1,noun,사과
apparent,B1,adjective,명백한
apparently,A2,adverb,보기에
appeal,B1,noun,항소
appear,A2,verb,나타나다
appearance,A2,noun,모습
appetite,B1,noun,식욕
applaud,B1,verb,박수
applause,B1,noun,박수 갈채
apple,A1,noun,사과
applicant,B2,noun,응모자
application,B1,noun,애플리케이션
apply,A2,verb,적용하다
appoint,B1,verb,정하다
appointment,A2,noun,약속
appreciate,A2,verb,고마워하다
appreciation,B1,noun,감사
appreciative,B2,adjective,감사한
approach,B1,noun,접근하다
appropriate,A2,adjective,적절한
appropriately,B2,adverb,적절하게
approval,B1,noun,승인
approve,B1,verb,승인하다
approximate,B2,adjective,근사치를 내다
approximately,B1,adverb,약
April,A1,noun,4월
apron,A1,noun,앞치마
arch,B2,noun,아치
archaeologist/archeologist,B2,noun,고고학자
architect,B1,noun,건축가
architecture,A2,noun,건축학
arctic,B2,adjective,북극
area,A2,noun,영역
arena,B2,noun,투기장
argue,A2,verb,다투다
argument,A2,noun,논쟁
arise,B1,verb,생기다
aristocracy,B2,noun,귀족
arithmetic,B1,noun,산수
arm,A1,noun,팔
armchair,A2,noun,안락 의자
armed,A2,adjective,무장
armful,B2,noun,한 아름
army,B1,noun,군대
around,A2,adverb,약
arouse,B2,verb,깨우다
arrange,B1,verb,마련하다
arrangement,B1,noun,준비
arrest,B1,noun,체포
arrival,B1,noun,도착
arrive,A1,verb,도착하다
arrogant,B2,adjective,오만한
arrow,B1,noun,화살
art,A1,noun,미술
artery,B2,noun,동맥
article,A1,noun,기사
articulate,B2,verb,명확하게
artificial,A2,adjective,인공의
artificially,B2,adverb,인공적으로
artist,B1,noun,아티스트
artistic,B1,adjective,예술적
artistry,B2,noun,예술적 기교
ash,B2,noun,재
ashamed,B1,adjective,부끄러운
aside,B1,adverb,곁에
ask,A1,verb,묻다
asleep,A2,adjective,잠이 든
aspect,B1,noun,측면
aspiration,B2,noun,포부
aspire,B2,verb,열망
aspirin,B1,noun,아스피린
assault,B2,noun,폭행
assemble,B2,verb,모으다
assembly,B2,noun,집회
assert,B2,verb,주장하다
assess,B2,verb,평가하다
assessment,B2,noun,평가
assign,B1,verb,선임하다
assignment,B1,noun,과제
assist,B1,verb,돕다
assistance,B1,noun,보조
assistant,A2,adjective,어시스턴트
associate,B1,verb,연관짓다
association,A2,noun,협회
assume,B1,verb,추정하다
assumption,B2,noun,추정
assurance,B2,noun,보증
assure,B2,verb,보증
astonish,B2,verb,놀라게 하다
astonishing,B2,adjective,놀라운
astonishment,B2,noun,놀람
astronaut,A2,noun,우주 비행사
astronomer,B1,noun,천문학자
astronomy,B2,noun,천문학
athlete,A2,noun,운동 선수
athletic,B1,adjective,운동
athletics,B2,noun,체육 실기
Atlantic,B1,adjective,대서양
atmosphere,B1,noun,대기
atom,A2,noun,원자
atomic,B1,adjective,원자
attach,B1,verb,붙이다
attached,B2,adjective,첨부된
attachment,B1,noun,부착
attack,A2,noun,공격
attain,B1,verb,이루다
attainable,B2,adjective,이룰 수 있는
attainment,B2,noun,달성
attempt,A2,noun,시도
attend,B1,verb,참석하다
attendance,B2,noun,출석
attention,A2,noun,주목
attentive,B2,adjective,친절한
attentively,B2,adverb,주의적으로
attitude,A2,noun,태도
attract,B1,verb,끌어들이다
attraction,B1,noun,끌어당김
attractive,A2,adjective,매력적인
attractiveness,B2,noun,매력
attribute,B2,noun,기인하다
atypical,B2,adjective,전형적이아닌
aubergine,B2,noun,가지
audience,A2,noun,청중
audio,A2,adjective,오디오
audit,B2,noun,심사
audition,B2,noun,오디션
August,A1,noun,팔월
aunt,A1,noun,이모
author,A2,noun,작가
authoritative,B2,adjective,권위 있는
authority,B1,noun,권한
authorize/authorise,B2,verb,승인
automatic,A2,adjective,자동적인
automatically,A2,adverb,자동으로
autumn,A1,noun,가을
auxiliary,B1,adjective,보조자
availability,B2,noun,유효성
available,B1,adjective,사용가능
avenue,B1,noun,수단
average,A2,adjective,평균
avoid,A2,verb,피하다
await,B2,verb,기다리다
awake,A1,adjective,깨어있는
award,A2,noun,상
aware,B1,adjective,알고있는
awareness,B1,noun,의식
away,A1,adverb,떨어져 있는
awe,B2,noun,두려움
awesome,B1,adjective,엄청난
awful,A2,adjective,끔찍한
awkward,B1,adjective,어색한
ax/axe,B2,noun,도끼
axis,B2,noun,중심선
baby,A1,noun,아기
babysit,B1,verb,보모
babysitter,B1,noun,구축함
back,A2,adjective,뒤쪽에
backache,B1,noun,요통
background,A2,noun,배경
backpack,B1,noun,배낭
backpacker,B1,noun,백패커
backpacking,B1,noun,배낭 여행
backup,B2,noun,지원
backward/backwards,B2,adverb,뒤로
backyard,B2,noun,뒤뜰
bacon,B1,noun,베이컨
bad,A1,adjective,나쁜
badge,B2,noun,배지
badly,A2,adverb,심하게
badminton,A2,noun,배드민턴
bad-tempered,B2,adjective,불쾌한
bag,A1,noun,가방
baggage,B1,noun,수하물
bake,A2,verb,빵을 굽다
baker,B1,noun,빵 굽는 사람
bakery,B1,noun,빵집
balance,B1,noun,균형
balanced,B2,adjective,균형이 잡힌
balcony,A2,noun,발코니
bald,B1,adjective,노골적인
balky,B2,adjective,보송보송한
ball,A1,noun,공
ballad,B2,noun,민요
ballet,B2,noun,발레
balloon,A2,noun,풍선
ballot,B2,noun,투표권
ban,B2,noun,금지의
banana,A1,noun,바나나
band,A1,noun,밴드
bandage,B1,noun,붕대
bang,B1,noun,쾅
bank,A1,noun,은행
bank account,B1,noun,은행 계좌
banker,B2,noun,은행가
banking,A2,noun,은행업
bankrupt,B2,verb,파산한
bankruptcy,B2,noun,파산
bar,A1,noun,술집
barbecue,A2,noun,야외 파티
barber,A2,noun,이발사
barbershop,B2,noun,이발소
bare,B1,adjective,벌거벗은
barely,B1,adverb,간신히
bargain,A2,noun,싸게 사는 물건
bark,B1,noun,짖다
barley,B2,noun,보리
barman,B1,noun,바텐더
barn,B2,noun,외양간
barometer,B2,noun,기압계
barrel,B1,noun,통
barren,B2,adjective,메마른
barrier,B2,noun,장벽
bartender,B2,noun,바텐더
base,A2,noun,베이스
baseball,A1,noun,야구
basement,B1,noun,최하부
basic,A2,adjective,기초적인
basically,A2,adverb,원래
basin,B1,noun,분지
basis,B1,noun,기초
basket,A2,noun,바구니
basketball,A1,noun,농구
bat,A1,noun,박쥐
batch,A2,noun,일괄
bath,A1,noun,욕조
bathe,B1,verb,담그다
bathhouse,B2,noun,목욕탕
bathroom,A1,noun,화장실
battery,A2,noun,배터리
battle,B1,noun,전투
battlefield,B2,noun,싸움터
bay,A2,noun,만
beach,A1,noun,해변
beagle,B2,noun,비글
beak,B2,noun,부리
beam,B2,noun,빔
bean,A1,noun,콩
bear,A1,noun,곰
beard,B1,noun,수염
bearing,B2,noun,베어링
beast,B1,noun,짐승
beat,B2,noun,치다
beautiful,A1,adjective,아름다운
beautifully,B1,adverb,아름답게
beautify,B2,verb,멋있게 하다
beauty,A2,noun,아름다움
beaver,B1,noun,비버
because,A1,conjunction,왜냐하면
because of,B1,preposition,때문에
become,A1,verb,~이 되다
bed,A1,noun,침대
bedroom,A1,noun,침실
bedside,B1,noun,머리맡
bee,A1,noun,벌
beef,A1,noun,소고기
beer,A2,noun,맥주
before,A1,adverb,~전에
beg,A2,verb,빌다
begin,A1,verb,시작하다
beginner,A2,noun,초보자
beginning,A2,noun,시작
behalf,B1,noun,이익
behave,B1,verb,행동하다
behavior/behaviour,A2,noun,행동
behind,A1,adverb,뒤에
being,A2,noun,존재
belief,B1,noun,믿음
believe,A1,verb,믿다
bell,A1,noun,벨
bellow,B2,verb,소 우는 소리
belly,A2,noun,배
belong,A2,verb,제자리에 있다
belonging,B2,noun,소지품
beloved,B1,adjective,인기 많은
below,A1,adverb,아래에
belt,A2,noun,벨트
bench,A2,noun,벤치
bend,B2,noun,굽히다
beneath,B1,preposition,~아래에
beneficial,B2,adjective,유익한
benefit,B1,noun,혜택
benevolence,B2,noun,자비심
benevolent,B2,adjective,자애로운
bent,B1,adjective,굽은
berry,B2,noun,말린 씨앗
beside,A1,preposition,옆에
besides,A2,adverb,게다가
best,A1,adjective,최상의
bestow,B2,verb,두다
bestseller,B2,noun,베스트셀러
bet,B1,verb,내기
betray,B2,verb,무심코 드러내다
better,A1,adjective,더 나은
between,A1,preposition,~사이
bewilder,B2,verb,어리둥절한
bewilderment,B2,noun,당황
beyond,A2,preposition,그 너머에
bicycle,A1,noun,자전거
bid,B2,verb,명령하다
bidding,B2,noun,입찰
big,A1,adjective,큰
bike,A1,noun,자전거
bikini,B2,noun,비키니
bilingual,B1,adjective,이중 언어
bill,A2,noun,청구서
billion,B2,noun,10억
bin,B1,noun,큰 상자
bind,B2,verb,묶다
bio,B2,noun,바이오
biochemistry,B1,noun,생화학
biography,B1,noun,전기
biological,B2,adjective,생물학적
biology,B1,noun,생물학
biotechnology,B2,noun,생명공학
bird,A1,noun,새
birdcage,B2,noun,새장
birth,A1,noun,출생
birthday,A1,noun,생일
birthplace,B2,noun,출생지
biscuit,A1,noun,비스킷
bishop,B1,noun,주교
bit,A2,noun,조금
bite,A2,noun,깨물다
bitter,B1,adjective,격렬한
bitterly,B2,adverb,몹시
bizarre,B2,adjective,기괴한
black,A1,adjective,검은색
blackboard,A2,noun,칠판
blade,B2,noun,칼날
blame,B1,noun,탓하다
blank,A1,adjective,공백
blanket,A2,noun,담요
blast,B2,noun,폭발
blaze,B2,noun,불꽃
bleed,B1,verb,출혈
blend,B2,noun,혼합하다
bless,B1,verb,축복하다
blessing,B1,noun,축복
blind,B1,adjective,눈이 먼
blindness,B2,noun,맹목
blink,B2,verb,깜박거리다
block,A1,noun,차단하다
blog,B1,noun,블로그
blogger,B1,noun,블로거
blonde,A2,adjective,금발
blood,A2,noun,피
bloodstream,B2,noun,혈류
bloody,B2,adjective,피의
bloom,A2,noun,꽃
blooming,B2,adjective,만발한
blossom,B2,noun,꽃
blow,A2,noun,불다
blue,A1,adjective,파란색
blur,B2,verb,흐림
blurt,B2,noun,퉁명스러운
blush,B1,noun,얼굴을 붉히다
board,A1,noun,보드
board game,A2,noun,보드 게임
boast,B1,verb,자랑
boat,A1,noun,보트
body,A1,noun,몸
boil,A2,verb,종기
boiled,A2,adjective,삶은 것
boiling,B2,adjective,비등
bold,B1,adjective,용감한
boldly,B1,adverb,대담하게
bolt,B2,noun,볼트
bomb,B1,noun,폭탄
bombard,B2,noun,포
bomber,B2,noun,마리화나 담배
bombing,B2,noun,폭격
bond,B1,noun,노예
bone,A1,noun,뼈
bonus,A2,noun,보너스
bony,B2,adjective,뼈
book,A1,noun,책
bookcase,A2,noun,책장
booking,B1,noun,예약
bookish,B2,adjective,책이 많은
booklet,B2,noun,작은 책자
bookmark,B2,noun,서표
bookshelf,A2,noun,책장
bookshop,A2,noun,서점
bookstore,A1,noun,서점
boom,B1,noun,쿵 하고 울리는 소리
boost,B2,noun,후원
boot,B1,noun,부츠
booth,B2,noun,노점
border,B1,noun,국경
bore,B1,verb,(구멍·터널을) 뚫다
bored,A2,adjective,지루한
boredom,B1,noun,지루함
boring,A1,adjective,지루한
borrow,A1,verb,빌리다
boss,A2,noun,사장
bossy,B2,adjective,두목 행세하는
botany,B2,noun,식물학
both,A1,adverb,둘 다
bother,B1,noun,신경 쓰다
bothered,B2,adjective,귀찮게
bothersome,B2,adjective,귀찮은
bottle,A1,noun,병
bottom,A1,noun,맨 아래
bounce,B2,noun,튄다
bound,B1,adjective,경계
bow,B1,noun,절하다
bowl,A1,noun,그릇
box,A1,noun,상자
boxer,B2,noun,복서
boxing,B1,noun,권투
boy,A1,noun,소년
boyfriend,A1,noun,남자 친구
bracelet,B1,noun,팔찌
bracket,B2,noun,"받침대, 브라켓"
brag,B2,noun,자랑거리
brain,A1,noun,뇌
brainstorm,A2,noun,영감
brainstorming,B1,noun,브레인 스토밍
brake,A2,noun,브레이크
branch,A2,noun,나뭇가지
brand,A2,noun,상표
brand-new,B1,adjective,새로운
brass,B1,noun,놋쇠
brave,A2,adjective,용감한
bravely,B1,adverb,용감하게
bravery,B2,noun,용감
bread,A1,noun,빵
break,A2,noun,부서지다
breakable,B2,adjective,깨뜨릴 수 있는
breakdown,B2,noun,고장
breakfast,A1,noun,아침
breakthrough,B1,noun,돌파구
breakup,B2,noun,붕괴
breast,B1,noun,가슴
breath,B1,noun,호흡
breathe,A1,verb,숨 쉬다
breathless,B1,adjective,숨가쁜
breathtaking,B2,adjective,아슬아슬한
breed,B2,noun,새끼를 낳다
breeding,B1,noun,번식
breeze,A2,noun,미풍
breezy,B2,adjective,살랑살랑
brewery,B2,noun,양조장
brick,B1,noun,벽돌
bride,A2,noun,신부
bridge,A1,noun,다리
brief,B1,adjective,짧은
briefly,B1,adverb,간단히
bright,A1,adjective,밝은
brightly,B1,adverb,밝게
brilliant,A2,adjective,멋진
brilliantly,B2,adverb,훌륭하게
bring,A1,verb,가져오다
broad,B1,adjective,넓은
broadband,B2,noun,광대역
broadcast,B1,noun,방송
broadcaster,B2,noun,방송사
broaden,B2,verb,넓히다
broadly,B2,adverb,대체로
broccoli,B1,noun,브로콜리
brochure,B2,noun,소책자
broken,A1,adjective,고장난
bronze,B1,noun,청동
brother,A1,noun,형제
brotherhood,B1,noun,노동 조합
brother-in-law,B2,noun,며느리
brown,A1,adjective,갈색
browse,B2,verb,검색
browser,B2,noun,브라우저
bruise,B2,noun,타박상
brush,A1,noun,브러시
bubble,B1,noun,거품
bucket,A1,noun,버킷
bud,B2,noun,싹
buddy,B1,noun,친구
budget,B2,adjective,예산
bug,A2,noun,벌레
build,A1,verb,짓다
builder,B1,noun,건축업자
building,A1,noun,건물
bulb,A2,noun,전구
bulimia,B2,noun,폭식증
bull,B1,noun,황소
bullet,B1,noun,총알
bulletin,B1,noun,회보
bully,B2,verb,괴롭히는 사람
bum,B2,noun,부랑자
bump,B1,verb,충돌
bumper,B2,noun,범퍼
bun,B2,noun,빵
bunch,B1,noun,다발
burden,B1,noun,부담
burdensome,B2,adjective,부담스러운
bureau,B1,noun,국
bureaucracy,B2,noun,관료
burger,A1,noun,버거
burglar,B1,noun,강도
burglary,B2,noun,강도
burgle,B2,verb,도르래
burial,B2,noun,매장
burn,A2,noun,불타다
burning,B1,adjective,타고 있는
burst,B1,verb,터지다
bury,A2,verb,묻다 
bus,A1,noun,버스
bus stop,A2,noun,버스 정류장
bush,A2,noun,수풀
business,A1,noun,사업
businessman,A2,noun,사업가
bust,B1,verb,흉상
bustle,B2,verb,붐비다
bustling,B2,adjective,번화한
busy,A1,adjective,바쁘다
but,A1,conjunction,하지만
butcher,B1,noun,푸줏간
butter,A1,noun,버터
butterfly,A1,noun,나비
button,A1,noun,단추
buy,A1,verb,구입하다
buyer,B1,noun,사는 사람
buzz,B2,noun,버저 소리
by,A1,preposition,~에 의해
bye,A1,noun,안녕
cab,A2,noun,택시
cabbage,B1,noun,양배추
cabin,B1,noun,선실
cabinet,B2,noun,내각
cable,B2,noun,케이블
cafe/caf?,A1,noun,카페+A547
cafeteria,A2,noun,구내 식당
cage,B1,noun,새장
cake,A1,noun,케이크
calculate,B1,verb,계산하다
calculation,B1,noun,계산
calculator,B1,noun,계산자
calendar,A2,noun,달력
calf,B1,noun,송아지
call,A1,noun,부르다
caller,B1,noun,방문객
calm,B1,adjective,침착한
calmly,B2,adverb,고요히
calmness,B1,noun,평온
camel,B1,noun,낙타
camera,A1,noun,카메라
camp,A1,noun,캠프
campaign,B2,noun,운동
camping,A2,noun,캠핑
campsite,B1,noun,캠프장
campus,A2,noun,교정
can,A1,modal auxiliary,~할 수 있다
canal,B1,noun,운하
cancel,B1,verb,취소
cancer,B1,noun,암
candidate,B2,noun,후보자
candle,B1,noun,양초
candy,A1,noun,사탕
cane,B2,noun,지팡이
canned,B1,adjective,술취한
cannonball,B2,noun,포탄
canon,B2,noun,"교회법, 카논"
canteen,B1,noun,매점
cap,A1,noun,모자
capability,B2,noun,능력
capable,B1,adjective,유능한
capacity,B1,noun,용량
capital,A2,noun,수도
capital letter,A2,noun,대문자
capsule,B1,noun,캡슐
captain,A2,noun,선장
caption,B2,noun,표제
captive,B2,noun,포로
capture,B1,noun,포착
car,A1,noun,자동차
car park,A2,noun,주차장
caravan,B2,noun,대상
carbon,B2,noun,탄소
carbon dioxide,B2,noun,이산화탄소
carbon footprint,B2,noun,탄소 발자국
carbon monoxide,B2,noun,일산화탄소
card,A1,noun,카드
cardboard,B2,noun,판지
cardigan,B2,noun,카디건
care,A1,noun,케어
career,B1,noun,직업
carefree,B2,adjective,평온한
careful,A1,adjective,주의 깊은
carefully,A1,adverb,주의하여
careless,B1,adjective,경솔한
carelessly,B1,adverb,무턱대고
carelessness,B1,noun,부주의
caring,B2,adjective,배려
carnival,B2,noun,축제
carpet,B1,noun,양탄자
carpool,B2,noun,카풀
carriage,B1,noun,마차
carrot,A2,noun,당근
carry,A1,verb,나르다
carton,B1,noun,곽
cartoon,A1,noun,만화
carve,B2,verb,새기다
cascade,B2,noun,종속
case,A1,noun,사례
cash,A2,noun,현금
cashpoint,B1,noun,현금 포인트
cassette,A2,noun,카세트
cast,B2,noun,출연자들
castle,A2,noun,성
casual,B1,adjective,평상복
casually,B2,adverb,우연히
cat,A1,noun,고양이
catalog/catalogue,B2,noun,카탈로그
catalyst,B2,noun,촉매
catastrophe,B2,noun,대단원
catastrophic,B2,adjective,파멸의
catch,A1,noun,잡다
catchy,B2,adjective,틀리기 쉬운
categorization/categorisation,B2,noun,분류
categorize/categorise,B1,verb,분류
category,B1,noun,범주
catering,B2,noun,케이터링
cathedral,B2,noun,성당
cattle,B1,noun,가축
cause,B2,noun,원인
caution,B1,noun,주의
cautious,B1,adjective,조심성 있는
cave,B1,noun,동굴
CD player,A1,noun,CD 플레이어
CD-ROM,B1,noun,CD 롬
cease,B2,verb,중지
ceiling,B2,noun,천장
celebrate,A1,verb,축하하다
celebration,A1,noun,축하
celebrity,B1,noun,유명 인사
cell,B1,noun,셀
cellar,B2,noun,지하실
cellist,B2,noun,첼리스트
cello,B2,noun,첼로
cemetery,B2,noun,묘지
cent,A2,noun,센트
center/centre,A2,noun,센터
centimeter/centimetre,A2,noun,센티미터
central,B1,adjective,본부
central heating,B1,noun,중앙 난방
century,A2,noun,세기
cereal,A2,noun,시리얼
ceremony,B1,noun,의식
certain,A2,adjective,확실한
certainly,A2,adverb,틀림없이
certainty,B1,noun,확실성
certificate,B2,noun,자격증
certification,B2,noun,인증
certify,B2,verb,인증
chain,A2,noun,체인
chair,A1,noun,의자
chairman,A2,noun,의장
challenge,A2,noun,도전
challenging,B1,adjective,도전적인
champagne,A2,noun,샴페인
champion,B1,noun,챔피언
championship,A2,noun,선수권 대회
chance,A2,noun,가능성
chancellor,B2,noun,장관
change,A1,noun,변화
channel,B1,noun,채널
chaos,B1,noun,혼돈
chaotic,B2,adjective,혼란
chapter,A2,noun,장
character,A1,noun,성격
characteristic,B2,adjective,특성
characterize/characterise,B1,verb,특성화
charge,B1,noun,요금
chariot,B1,noun,이륜 전차
charity,B1,noun,자선 단체
charm,B1,noun,매력
charming,B2,adjective,매력적인
chart,A2,noun,차트
chase,B1,noun,뒤쫓다다
chat,B1,noun,채팅
chat show,B1,noun,토크쇼
cheap,A2,adjective,값이 싼
cheat,B2,verb,속이다
check,A1,noun,확인하다
check-in counter/check-in,B1,noun,체크인
checkout,B1,noun,점검
checkpoint,B2,noun,검문소
cheek,A2,noun,볼
cheeky,B2,adjective,건방진
cheer,A2,verb,환호
